bin_index,bin_low,bin_high,count,avg_predicted_prob,actual_win_rate,calibration_gap
0,0.0,0.05,17,0.035066,0.0,-0.035066
1,0.05,0.1,71,0.075592,0.056338,-0.019254
2,0.1,0.15000000000000002,144,0.12654,0.166667,0.040127
3,0.15000000000000002,0.2,211,0.176973,0.194313,0.01734
4,0.2,0.25,317,0.226427,0.214511,-0.011916
5,0.25,0.30000000000000004,428,0.275756,0.254673,-0.021083
6,0.30000000000000004,0.35000000000000003,746,0.327885,0.282842,-0.045043
7,0.35000000000000003,0.4,1289,0.376359,0.318852,-0.057507
8,0.4,0.45,1706,0.425326,0.389801,-0.035525
9,0.45,0.5,1862,0.477072,0.494629,0.017558
10,0.5,0.55,1478,0.522399,0.625169,0.10277
11,0.55,0.6000000000000001,934,0.573611,0.653105,0.079494
12,0.6000000000000001,0.65,747,0.623669,0.729585,0.105916
13,0.65,0.7000000000000001,516,0.675048,0.686047,0.010998
14,0.7000000000000001,0.75,463,0.724604,0.796976,0.072372
15,0.75,0.8,341,0.771761,0.803519,0.031758
16,0.8,0.8500000000000001,265,0.823168,0.811321,-0.011847
17,0.8500000000000001,0.9,181,0.873712,0.80663,-0.067082
18,0.9,0.9500000000000001,112,0.921316,0.919643,-0.001673
19,0.9500000000000001,1.0,52,0.965336,0.961538,-0.003797
