tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
,Barcelona,Clay,,,,20260416,,,,,Andrey Rublev,,,,28.0,13,2420.0,,,,Lorenzo Sonego,,,,31.0,69.0,843.0,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260416,,,,,Arthur Fils,,,,22.0,24,1940.0,,,,Brandon Nakashima,,,,24.0,31.0,1485.0,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260416,,,,,Lorenzo Musetti,,,,24.0,15,2325.0,,,,Corentin Moutet,,,,27.0,39.0,1163.0,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260416,,,,,Alex Molcan,,,,28.0,101,639.0,,,,Daniel Altmaier,,,,27.0,61.0,924.0,6-4 7-6(10),3,R16,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260416,,,,,Denis Shapovalov,,,,27.0,41,1130.0,,,,Fabian Marozsan,,,,26.0,53.0,970.0,7-6(4) 6-2,3,R16,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260416,,,,,Francisco Cerundolo,,,,27.0,21,2110.0,,,,Botic Van De Zandschulp,,,,30.0,54.0,969.0,6-3 6-0,3,R16,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260415,,,,,Cameron Norrie,,,,30.0,29,1595.0,,,,Ethan Quinn,,,,22.0,47.0,1021.0,6-3 4-6 6-4,3,R16,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260415,,,,,Hamad Medjedovic,,,,22.0,68,844.0,,,,Alex De Minaur,,,,27.0,6.0,4110.0,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260415,,,,,Nuno Borges,,,,29.0,48,1020.0,,,,Tomas Martin Etcheverry,,,,26.0,32.0,1460.0,6-3 7-6(4),3,R16,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260415,,,,,Rafael Jodar,,,,19.0,26,1839.0,,,,Camilo Ugo Carabelli,,,,27.0,59.0,930.0,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,
