scraped_at,tournament_name,source_url,surface,round,winner_name,loser_name,score_text,raw_completed_line,match_date,espn_tournament_url,espn_daily_url,round_raw_espn,espn_match_source,date_source
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R16,Andrey Rublev,Lorenzo Sonego,6-2 6-3,R16: (5) Andrey Rublev (RUS) d. Lorenzo Sonego (ITA) 6-2 6-3,2026-04-16,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260416,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R16,Hamad Medjedovic,Alex De Minaur,6-3 6-4,R16: (Q) Hamad Medjedovic (SRB) d. (3) Alex De Minaur (AUS) 6-3 6-4,2026-04-15,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260415,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R16,Nuno Borges,Tomas Martin Etcheverry,6-3 7-6(4),R16: Nuno Borges (POR) d. Tomas Martin Etcheverry (ARG) 6-3 7-6(4),2026-04-15,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260415,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R16,Cameron Norrie,Ethan Quinn,6-3 4-6 6-4,R16: (7) Cameron Norrie (GBR) d. (Q) Ethan Quinn (USA) 6-3 4-6 6-4,2026-04-15,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260415,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R16,Rafael Jodar,Camilo Ugo Carabelli,6-3 6-3,R16: (WC) Rafael Jodar (ESP) d. Camilo Ugo Carabelli (ARG) 6-3 6-3,2026-04-15,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260415,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R16,Arthur Fils,Brandon Nakashima,6-2 6-3,R16: (9) Arthur Fils (FRA) d. Brandon Nakashima (USA) 6-2 6-3,2026-04-16,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260416,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R16,Lorenzo Musetti,Corentin Moutet,6-3 6-4,R16: (2) Lorenzo Musetti (ITA) d. Corentin Moutet (FRA) 6-3 6-4,2026-04-16,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260416,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Carlos Alcaraz,Otto Virtanen,6-4 6-2,R32: (1) Carlos Alcaraz (ESP) d. (Q) Otto Virtanen (FIN) 6-4 6-2,2026-04-14,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260414,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Tomas Machac,Sebastian Baez,2-6 6-4 6-1,R32: Tomas Machac (CZE) d. Sebastian Baez (ARG) 2-6 6-4 6-1,2026-04-14,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260414,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Lorenzo Sonego,Pedro Martinez,6-2 2-6 6-4,R32: Lorenzo Sonego (ITA) d. (Q) Pedro Martinez (ESP) 6-2 2-6 6-4,2026-04-14,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260414,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Andrey Rublev,Mariano Navone,6-4 7-5,R32: (5) Andrey Rublev (RUS) d. Mariano Navone (ARG) 6-4 7-5,2026-04-14,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260414,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Alex De Minaur,Sebastian Ofner,7-6(7) 6-4,R32: (3) Alex De Minaur (AUS) d. (Q) Sebastian Ofner (AUT) 7-6(7) 6-4,2026-04-14,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260414,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Hamad Medjedovic,Marco Trungelliti,7-5 6-4,R32: (Q) Hamad Medjedovic (SRB) d. (LL) Marco Trungelliti (ARG) 7-5 6-4,2026-04-13,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260413,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Nuno Borges,Adrian Mannarino,6-3 6-4,R32: Nuno Borges (POR) d. Adrian Mannarino (FRA) 6-3 6-4,2026-04-13,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260413,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Tomas Martin Etcheverry,Jack Draper,3-6 6-3 4-1 RET,R32: Tomas Martin Etcheverry (ARG) d. (8) Jack Draper (GBR) 3-6 6-3 4-1 RET,2026-04-13,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260413,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Cameron Norrie,Stan Wawrinka,6-4 6-7(5) 6-4,R32: (7) Cameron Norrie (GBR) d. (WC) Stan Wawrinka (SUI) 6-4 6-7(5) 6-4,2026-04-13,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260413,,espn,espn_schedule_scoreboard
2026-04-17T03:57:42Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay,R32,Ethan Quinn,Reilly Opelka,7-5 7-6(7),R32: (Q) Ethan Quinn (USA) d. Reilly Opelka (USA) 7-5 7-6(7),2026-04-13,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/338-2026/competitionType/1/date/20260413,,espn,espn_schedule_scoreboard
