snapshot_date,scraped_at,player_name,official_rank,official_points,age,rankings_source
2026-04-17,2026-04-17T06:12:12Z,J. Sinner,1,13350,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Jannik Sinner,1,13350,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,C. Alcaraz,2,13240,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Carlos Alcaraz,2,13240,22.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Zverev,3,5555,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Alexander Zverev,3,5555,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,N. Djokovic,4,4710,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Novak Djokovic,4,4710,38.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,F. Auger-Aliassime,5,4100,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Felix Auger-Aliassime,5,4100,25.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,B. Shelton,6,3900,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Ben Shelton,6,3900,23.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. de Minaur,7,3895,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Alex de Minaur,7,3895,27.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,T. Fritz,8,3870,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Taylor Fritz,8,3870,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,L. Musetti,9,3625,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Lorenzo Musetti,9,3625,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,D. Medvedev,10,3560,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Daniil Medvedev,10,3560,30.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Bublik,11,3445,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Alexander Bublik,11,3445,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,C. Ruud,12,2625,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Casper Ruud,12,2625,27.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,J. Lehecka,13,2540,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Jiri Lehecka,13,2540,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,K. Khachanov,14,2410,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Karen Khachanov,14,2410,29.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Rublev,15,2350,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Andrey Rublev,15,2350,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,F. Cobolli,16,2320,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Flavio Cobolli,16,2320,23.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,V. Vacherot,17,2168,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Valentin Vacherot,17,2168,27.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,T. Paul,18,2065,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Tommy Paul,18,2065,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,F. Cerundolo,19,2020,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Francisco Cerundolo,19,2020,27.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,F. Tiafoe,20,1965,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Frances Tiafoe,20,1965,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,L. Darderi,21,1920,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Luciano Darderi,21,1920,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,L. Tien,22,1885,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Learner Tien,22,1885,20.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Davidovich Fokina,23,1870,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Alejandro Davidovich Fokina,23,1870,26.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,C. Norrie,24,1778,,atp_daily_snapshot
