scraped_at,rankings_date,official_rank,player_name,age,official_points
2026-07-03T14:30:14Z,2026-06-29,1,J. Sinner,,13450
2026-07-03T14:30:14Z,2026-06-29,1,Jannik Sinner,24,13450
2026-07-03T14:30:14Z,2026-06-29,2,C. Alcaraz,,9460
2026-07-03T14:30:14Z,2026-06-29,2,Carlos Alcaraz,23,9460
2026-07-03T14:30:14Z,2026-06-29,3,A. Zverev,,7190
2026-07-03T14:30:14Z,2026-06-29,3,Alexander Zverev,29,7190
2026-07-03T14:30:14Z,2026-06-29,4,F. Auger-Aliassime,,4390
2026-07-03T14:30:14Z,2026-06-29,4,Felix Auger-Aliassime,25,4390
2026-07-03T14:30:14Z,2026-06-29,5,B. Shelton,,4160
2026-07-03T14:30:14Z,2026-06-29,5,Ben Shelton,23,4160
2026-07-03T14:30:14Z,2026-06-29,6,A. de Minaur,,4110
2026-07-03T14:30:14Z,2026-06-29,6,Alex de Minaur,27,4110
2026-07-03T14:30:14Z,2026-06-29,7,T. Fritz,,3765
2026-07-03T14:30:14Z,2026-06-29,7,Taylor Fritz,28,3765
2026-07-03T14:30:14Z,2026-06-29,8,N. Djokovic,,3760
2026-07-03T14:30:14Z,2026-06-29,8,Novak Djokovic,39,3760
2026-07-03T14:30:14Z,2026-06-29,9,D. Medvedev,,3580
2026-07-03T14:30:14Z,2026-06-29,9,Daniil Medvedev,30,3580
2026-07-03T14:30:14Z,2026-06-29,10,F. Cobolli,,3460
2026-07-03T14:30:14Z,2026-06-29,10,Flavio Cobolli,24,3460
2026-07-03T14:30:14Z,2026-06-29,11,A. Bublik,,2620
2026-07-03T14:30:14Z,2026-06-29,11,Alexander Bublik,29,2620
2026-07-03T14:30:14Z,2026-06-29,12,C. Ruud,,2425
2026-07-03T14:30:14Z,2026-06-29,12,Casper Ruud,27,2425
2026-07-03T14:30:14Z,2026-06-29,13,A. Rublev,,2420
2026-07-03T14:30:14Z,2026-06-29,13,Andrey Rublev,28,2420
2026-07-03T14:30:14Z,2026-06-29,14,J. Lehecka,,2360
2026-07-03T14:30:14Z,2026-06-29,14,Jiri Lehecka,24,2360
2026-07-03T14:30:14Z,2026-06-29,15,L. Musetti,,2325
2026-07-03T14:30:14Z,2026-06-29,15,Lorenzo Musetti,24,2325
2026-07-03T14:30:14Z,2026-06-29,16,L. Darderi,,2300
2026-07-03T14:30:14Z,2026-06-29,16,Luciano Darderi,24,2300
2026-07-03T14:30:14Z,2026-06-29,17,L. Tien,,2270
2026-07-03T14:30:14Z,2026-06-29,17,Learner Tien,20,2270
2026-07-03T14:30:14Z,2026-06-29,18,J. Mensik,,2255
2026-07-03T14:30:14Z,2026-06-29,18,Jakub Mensik,20,2255
2026-07-03T14:30:14Z,2026-06-29,19,F. Tiafoe,,2180
2026-07-03T14:30:14Z,2026-06-29,19,Frances Tiafoe,28,2180
2026-07-03T14:30:14Z,2026-06-29,20,V. Vacherot,,2138
2026-07-03T14:30:14Z,2026-06-29,20,Valentin Vacherot,27,2138
2026-07-03T14:30:14Z,2026-06-29,21,F. Cerundolo,,2110
2026-07-03T14:30:14Z,2026-06-29,21,Francisco Cerundolo,27,2110
2026-07-03T14:30:14Z,2026-06-29,22,K. Khachanov,,2080
2026-07-03T14:30:14Z,2026-06-29,22,Karen Khachanov,30,2080
2026-07-03T14:30:14Z,2026-06-29,23,A. Davidovich Fokina,,2060
2026-07-03T14:30:14Z,2026-06-29,23,Alejandro Davidovich Fokina,27,2060
2026-07-03T14:30:14Z,2026-06-29,24,A. Fils,,1940
2026-07-03T14:30:14Z,2026-06-29,24,Arthur Fils,22,1940
2026-07-03T14:30:14Z,2026-06-29,25,T. Paul,,1925
2026-07-03T14:30:14Z,2026-06-29,25,Tommy Paul,29,1925
2026-07-03T14:30:14Z,2026-06-29,26,R. Jodar,,1839
2026-07-03T14:30:14Z,2026-06-29,26,Rafael Jodar,19,1839
2026-07-03T14:30:14Z,2026-06-29,27,J. Fonseca,,1710
2026-07-03T14:30:14Z,2026-06-29,27,Joao Fonseca,19,1710
2026-07-03T14:30:14Z,2026-06-29,28,A. Rinderknech,,1683
2026-07-03T14:30:14Z,2026-06-29,28,Arthur Rinderknech,30,1683
2026-07-03T14:30:14Z,2026-06-29,29,C. Norrie,,1595
2026-07-03T14:30:14Z,2026-06-29,29,Cameron Norrie,30,1595
2026-07-03T14:30:14Z,2026-06-29,30,U. Humbert,,1575
2026-07-03T14:30:14Z,2026-06-29,30,Ugo Humbert,28,1575
2026-07-03T14:30:14Z,2026-06-29,31,B. Nakashima,,1485
2026-07-03T14:30:14Z,2026-06-29,31,Brandon Nakashima,24,1485
2026-07-03T14:30:14Z,2026-06-29,32,T. Etcheverry,,1460
2026-07-03T14:30:14Z,2026-06-29,32,Tomas Martin Etcheverry,26,1460
2026-07-03T14:30:14Z,2026-06-29,33,A. Tabilo,,1428
2026-07-03T14:30:14Z,2026-06-29,33,Alejandro Tabilo,29,1428
2026-07-03T14:30:14Z,2026-06-29,34,I. Buse,,1375
2026-07-03T14:30:14Z,2026-06-29,34,Ignacio Buse,22,1375
2026-07-03T14:30:14Z,2026-06-29,35,M. Arnaldi,,1349
2026-07-03T14:30:14Z,2026-06-29,35,Matteo Arnaldi,25,1349
2026-07-03T14:30:14Z,2026-06-29,36,A. Blockx,,1275
2026-07-03T14:30:14Z,2026-06-29,36,Alexander Blockx,21,1275
2026-07-03T14:30:14Z,2026-06-29,37,Z. Bergs,,1250
2026-07-03T14:30:14Z,2026-06-29,37,Zizou Bergs,27,1250
2026-07-03T14:30:14Z,2026-06-29,38,M. Navone,,1165
2026-07-03T14:30:14Z,2026-06-29,38,Mariano Navone,25,1165
2026-07-03T14:30:14Z,2026-06-29,39,C. Moutet,,1163
2026-07-03T14:30:14Z,2026-06-29,39,Corentin Moutet,27,1163
2026-07-03T14:30:14Z,2026-06-29,40,A. Mannarino,,1139
2026-07-03T14:30:14Z,2026-06-29,40,Adrian Mannarino,37,1139
2026-07-03T14:30:14Z,2026-06-29,41,D. Shapovalov,,1130
2026-07-03T14:30:14Z,2026-06-29,41,Denis Shapovalov,27,1130
2026-07-03T14:30:14Z,2026-06-29,42,J. Cerundolo,,1108
2026-07-03T14:30:14Z,2026-06-29,42,Juan Manuel Cerundolo,24,1108
2026-07-03T14:30:14Z,2026-06-29,43,R. Collignon,,1091
2026-07-03T14:30:14Z,2026-06-29,43,Raphael Collignon,24,1091
2026-07-03T14:30:14Z,2026-06-29,44,J. Munar,,1075
2026-07-03T14:30:14Z,2026-06-29,44,Jaume Munar,29,1075
2026-07-03T14:30:14Z,2026-06-29,45,K. Majchrzak,,1032
2026-07-03T14:30:14Z,2026-06-29,45,Kamil Majchrzak,30,1032
2026-07-03T14:30:14Z,2026-06-29,46,A. Michelsen,,1025
2026-07-03T14:30:14Z,2026-06-29,46,Alex Michelsen,21,1025
2026-07-03T14:30:14Z,2026-06-29,47,E. Quinn,,1021
2026-07-03T14:30:14Z,2026-06-29,47,Ethan Quinn,22,1021
2026-07-03T14:30:14Z,2026-06-29,48,N. Borges,,1020
2026-07-03T14:30:14Z,2026-06-29,48,Nuno Borges,29,1020
2026-07-03T14:30:14Z,2026-06-29,49,T. Machac,,1020
2026-07-03T14:30:14Z,2026-06-29,49,Tomas Machac,25,1020
2026-07-03T14:30:14Z,2026-06-29,50,M. Kecmanovic,,1020
2026-07-03T14:30:14Z,2026-06-29,50,Miomir Kecmanovic,26,1020
2026-07-03T14:30:14Z,2026-06-29,51,M. Berrettini,,985
2026-07-03T14:30:14Z,2026-06-29,51,Matteo Berrettini,30,985
2026-07-03T14:30:14Z,2026-06-29,52,T. Atmane,,982
2026-07-03T14:30:14Z,2026-06-29,52,Terence Atmane,24,982
2026-07-03T14:30:14Z,2026-06-29,53,F. Marozsan,,970
2026-07-03T14:30:14Z,2026-06-29,53,Fabian Marozsan,26,970
2026-07-03T14:30:14Z,2026-06-29,54,B. van de Zandschulp,,969
2026-07-03T14:30:14Z,2026-06-29,54,Botic van de Zandschulp,30,969
2026-07-03T14:30:14Z,2026-06-29,55,T. Tirante,,961
2026-07-03T14:30:14Z,2026-06-29,55,Thiago Agustin Tirante,25,961
2026-07-03T14:30:14Z,2026-06-29,56,Y. Hanfmann,,949
2026-07-03T14:30:14Z,2026-06-29,56,Yannick Hanfmann,34,949
2026-07-03T14:30:14Z,2026-06-29,57,S. Baez,,935
2026-07-03T14:30:14Z,2026-06-29,57,Sebastian Baez,25,935
2026-07-03T14:30:14Z,2026-06-29,58,T. Griekspoor,,935
2026-07-03T14:30:14Z,2026-06-29,58,Tallon Griekspoor,29,935
2026-07-03T14:30:14Z,2026-06-29,59,C. Ugo Carabelli,,930
2026-07-03T14:30:14Z,2026-06-29,59,Camilo Ugo Carabelli,27,930
2026-07-03T14:30:14Z,2026-06-29,60,M. Landaluce,,926
2026-07-03T14:30:14Z,2026-06-29,60,Martin Landaluce,20,926
2026-07-03T14:30:14Z,2026-06-29,61,D. Altmaier,,924
2026-07-03T14:30:14Z,2026-06-29,61,Daniel Altmaier,27,924
2026-07-03T14:30:14Z,2026-06-29,62,M. Cilic,,911
2026-07-03T14:30:14Z,2026-06-29,62,Marin Cilic,37,911
2026-07-03T14:30:14Z,2026-06-29,63,S. Korda,,900
2026-07-03T14:30:14Z,2026-06-29,63,Sebastian Korda,25,900
2026-07-03T14:30:14Z,2026-06-29,64,V. Kopriva,,893
2026-07-03T14:30:14Z,2026-06-29,64,Vit Kopriva,29,893
2026-07-03T14:30:14Z,2026-06-29,65,R. Burruchaga,,875
2026-07-03T14:30:14Z,2026-06-29,65,Roman Andres Burruchaga,24,875
2026-07-03T14:30:14Z,2026-06-29,66,Z. Svajda,,855
2026-07-03T14:30:14Z,2026-06-29,66,Zachary Svajda,23,855
2026-07-03T14:30:14Z,2026-06-29,67,M. Bellucci,,851
2026-07-03T14:30:14Z,2026-06-29,67,Mattia Bellucci,25,851
2026-07-03T14:30:14Z,2026-06-29,68,H. Medjedovic,,844
2026-07-03T14:30:14Z,2026-06-29,68,Hamad Medjedovic,22,844
2026-07-03T14:30:14Z,2026-06-29,69,L. Sonego,,843
2026-07-03T14:30:14Z,2026-06-29,69,Lorenzo Sonego,31,843
2026-07-03T14:30:14Z,2026-06-29,70,A. Kovacevic,,837
2026-07-03T14:30:14Z,2026-06-29,70,Aleksandar Kovacevic,27,837
2026-07-03T14:30:14Z,2026-06-29,71,P. Carreno Busta,,834
2026-07-03T14:30:14Z,2026-06-29,71,Pablo Carreno Busta,34,834
2026-07-03T14:30:14Z,2026-06-29,72,A. Vallejo,,828
2026-07-03T14:30:14Z,2026-06-29,72,Adolfo Daniel Vallejo,22,828
2026-07-03T14:30:14Z,2026-06-29,73,J. de Jong,,808
2026-07-03T14:30:14Z,2026-06-29,73,Jesper de Jong,26,808
2026-07-03T14:30:14Z,2026-06-29,74,J. Struff,,804
2026-07-03T14:30:14Z,2026-06-29,74,Jan-Lennard Struff,36,804
2026-07-03T14:30:14Z,2026-06-29,75,V. Royer,,798
2026-07-03T14:30:14Z,2026-06-29,75,Valentin Royer,25,798
2026-07-03T14:30:14Z,2026-06-29,76,M. Fucsovics,,781
2026-07-03T14:30:14Z,2026-06-29,76,Marton Fucsovics,34,781
2026-07-03T14:30:14Z,2026-06-29,77,H. Rune,,760
2026-07-03T14:30:14Z,2026-06-29,77,Holger Rune,23,760
2026-07-03T14:30:14Z,2026-06-29,78,A. Cazaux,,757
2026-07-03T14:30:14Z,2026-06-29,78,Arthur Cazaux,23,757
2026-07-03T14:30:14Z,2026-06-29,79,J. Duckworth,,748
2026-07-03T14:30:14Z,2026-06-29,79,James Duckworth,34,748
2026-07-03T14:30:14Z,2026-06-29,80,L. Van Assche,,735
2026-07-03T14:30:14Z,2026-06-29,80,Luca Van Assche,22,735
2026-07-03T14:30:14Z,2026-06-29,81,J. Brooksby,,720
2026-07-03T14:30:14Z,2026-06-29,81,Jenson Brooksby,25,720
2026-07-03T14:30:14Z,2026-06-29,82,R. Hijikata,,717
2026-07-03T14:30:14Z,2026-06-29,82,Rinky Hijikata,25,717
2026-07-03T14:30:14Z,2026-06-29,83,G. Mpetshi Perricard,,710
2026-07-03T14:30:14Z,2026-06-29,83,Giovanni Mpetshi Perricard,22,710
2026-07-03T14:30:14Z,2026-06-29,84,D. Merida,,706
2026-07-03T14:30:14Z,2026-06-29,84,Daniel Merida,21,706
2026-07-03T14:30:14Z,2026-06-29,85,A. Walton,,704
2026-07-03T14:30:14Z,2026-06-29,85,Adam Walton,27,704
2026-07-03T14:30:14Z,2026-06-29,86,E. Nava,,704
2026-07-03T14:30:14Z,2026-06-29,86,Emilio Nava,24,704
2026-07-03T14:30:14Z,2026-06-29,87,S. Tsitsipas,,700
2026-07-03T14:30:14Z,2026-06-29,87,Stefanos Tsitsipas,27,700
2026-07-03T14:30:14Z,2026-06-29,88,G. Diallo,,695
2026-07-03T14:30:14Z,2026-06-29,88,Gabriel Diallo,24,695
2026-07-03T14:30:14Z,2026-06-29,89,D. Prizmic,,691
2026-07-03T14:30:14Z,2026-06-29,89,Dino Prizmic,20,691
2026-07-03T14:30:14Z,2026-06-29,90,S. Shimabukuro,,691
2026-07-03T14:30:14Z,2026-06-29,90,Sho Shimabukuro,28,691
2026-07-03T14:30:14Z,2026-06-29,91,F. Comesana,,688
2026-07-03T14:30:14Z,2026-06-29,91,Francisco Comesana,25,688
2026-07-03T14:30:14Z,2026-06-29,92,M. Giron,,680
2026-07-03T14:30:14Z,2026-06-29,92,Marcos Giron,32,680
2026-07-03T14:30:14Z,2026-06-29,93,B. Bonzi,,673
2026-07-03T14:30:14Z,2026-06-29,93,Benjamin Bonzi,30,673
2026-07-03T14:30:14Z,2026-06-29,94,M. Trungelliti,,670
2026-07-03T14:30:14Z,2026-06-29,94,Marco Trungelliti,36,670
2026-07-03T14:30:14Z,2026-06-29,95,Q. Halys,,666
2026-07-03T14:30:14Z,2026-06-29,95,Quentin Halys,29,666
2026-07-03T14:30:14Z,2026-06-29,96,H. Hurkacz,,665
2026-07-03T14:30:14Z,2026-06-29,96,Hubert Hurkacz,29,665
2026-07-03T14:30:14Z,2026-06-29,97,E. Spizzirri,,662
