match_date,tournament_name,round,round_raw_espn,winner_name,loser_name,score_text,espn_tournament_url,espn_daily_url
2026-04-11,BMW Open by Bitpanda,Q1,Qualifying 1st Round,Alex Molcan,Roberto Carballes Baena,6 3 4 || 0 6 6,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260411
2026-04-11,BMW Open by Bitpanda,Q1,Qualifying 1st Round - Center Court,Emilio Nava,David Goffin,6 6 || 4 2,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260411
2026-04-11,BMW Open by Bitpanda,Q1,Qualifying 1st Round - Court 1,Lorenzo Giustino,Sumit Nagal,6 3 || 1 6 RET,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260411
2026-04-11,BMW Open by Bitpanda,Q1,Qualifying 1st Round - Court 2,Max Hans Rehberg,Arthur Fery,6 7 7 || 2 6 1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260411
2026-04-11,BMW Open by Bitpanda,Q1,Qualifying 1st Round - Center Court,Alexander Shevchenko,Diego Dedura,6 7 7 || 3 6 5,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260411
2026-04-11,BMW Open by Bitpanda,Q1,Qualifying 1st Round - Court 1,Marko Topo,Ugo Blanchet,6 6 || 3 4,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260411
2026-04-11,BMW Open by Bitpanda,Q1,Qualifying 1st Round - Center Court,Marc-Andrea Huesler,Jan Choinski,4 6 4 || 6 4 6,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260411
2026-04-11,BMW Open by Bitpanda,Q1,Qualifying 1st Round - Court 1,Vitaliy Sachko,Damir Dzumhur,5 4 || 7 6,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260411
2026-04-12,BMW Open by Bitpanda,,,Alex Molcan,Emilio Nava,1 6 4 || 6 7 7,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260412
2026-04-12,BMW Open by Bitpanda,,,Diego Dedura,Sumit Nagal,6 8 6 6 || 7 10 3 3,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260412
2026-04-12,BMW Open by Bitpanda,,,Marc-Andrea Huesler,Marko Topo,6 6 || 0 1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260412
2026-04-12,BMW Open by Bitpanda,,,Vitaliy Sachko,Max Hans Rehberg,6 7 7 || 2 6 3,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260412
2026-04-13,BMW Open by Bitpanda,,,Ben Shelton,Emilio Nava,6 4 6 3 2 || 7 7 3 6,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260413
2026-04-13,BMW Open by Bitpanda,,,Francisco Cerundolo,Sumit Nagal,2 2 5 || 6 6,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260413
2026-04-13,BMW Open by Bitpanda,,,Arthur Rinderknech,Alex Michelsen,6 6 || 3 3,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260413
2026-04-13,BMW Open by Bitpanda,,,Alexander Blockx,Yannick Hanfmann,7 7 6 || 6 2 2,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260413
2026-04-13,BMW Open by Bitpanda,,,Gabriel Diallo,Vitaliy Sachko,6 6 || 1 2,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260413
2026-04-13,BMW Open by Bitpanda,,,Botic Van De Zandschulp,Marc-Andrea Huesler,7 9 6 || 6 7 3,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260413
2026-04-14,BMW Open by Bitpanda,,,Alexander Zverev,Miomir Kecmanovic,6 3 7 7 || 3 6 6 2,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260414
2026-04-14,BMW Open by Bitpanda,,,Alex Molcan,Alexander Bublik,6 6 3 || 4 2,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1,https://www.espn.com/tennis/scoreboard/tournament/_/eventId/12-2026/competitionType/1/date/20260414
