player_name,normalized_name,player_page_url,discovered_from_url,scraped_at
,kevin krawietz,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105906/Kevin-Krawietz,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,tim puetz,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105047/Tim-Puetz,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,ryan seggerman,https://www.tennisabstract.com/cgi-bin/player.cgi?p=202342/Ryan-Seggerman,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,andre goransson,https://www.tennisabstract.com/cgi-bin/player.cgi?p=122585/Andre-Goransson,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,evan king,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105960/Evan-King,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,sander arends,https://www.tennisabstract.com/cgi-bin/player.cgi?p=122644/Sander-Arends,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,david pel,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105801/David-Pel,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,robert galloway,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200415/Robert-Galloway,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,john peers,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105188/John-Peers,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,alexander erler,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126623/Alexander-Erler,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,jan zielinski,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126591/Jan-Zielinski,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,lucas miedler,https://www.tennisabstract.com/cgi-bin/player.cgi?p=111192/Lucas-Miedler,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,albano olivetti,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105874/Albano-Olivetti,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,theo arribage,https://www.tennisabstract.com/cgi-bin/player.cgi?p=208136/Theo-Arribage,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,luke johnson,https://www.tennisabstract.com/cgi-bin/player.cgi?p=123854/Luke-Johnson,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,rafael matos,https://www.tennisabstract.com/cgi-bin/player.cgi?p=122425/Rafael-Matos,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,orlando luz,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126197/Orlando-Luz,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,alexander blockx,https://www.tennisabstract.com/cgi-bin/player.cgi?p=210696/Alexander-Blockx,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,marcelo melo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=104249/Marcelo-Melo,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,sadio doumbia,https://www.tennisabstract.com/cgi-bin/player.cgi?p=120775/Sadio-Doumbia,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,fabien reboul,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126512/Fabien-Reboul,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,yuki bhambri,https://www.tennisabstract.com/cgi-bin/player.cgi?p=106026/Yuki-Bhambri,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,michael venus,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105030/Michael-Venus,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,jakob schnaitter,https://www.tennisabstract.com/cgi-bin/player.cgi?p=134383/Jakob-Schnaitter,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,mark wallner,https://www.tennisabstract.com/cgi-bin/player.cgi?p=211611/Mark-Wallner,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,max hans rehberg,https://www.tennisabstract.com/cgi-bin/player.cgi?p=208819/Max-Hans-Rehberg,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,alexander shevchenko,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207686/Alexander-Shevchenko,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
