player_name,normalized_name,resolution_method,attempted_url,success,failure_reason
Adrian Mannarino,adrian mannarino,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105173/Adrian-Mannarino,True,
Alejandro Tabilo,alejandro tabilo,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126214/Alejandro-Tabilo,True,
Alex De Minaur,alex de minaur,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200282/Alex-De-Minaur,True,
Alex Michelsen,alex michelsen,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=210506/Alex-Michelsen,True,
Alex Molcan,alex molcan,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144684/Alex-Molcan,True,
Alexander Blockx,alexander blockx,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=210696/Alexander-Blockx,True,
Alexander Bublik,alexander bublik,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=122330/Alexander-Bublik,True,
Alexander Zverev,alexander zverev,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=100644/Alexander-Zverev,True,
Andrey Rublev,andrey rublev,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126094/Andrey-Rublev,True,
Arthur Fils,arthur fils,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209950/Arthur-Fils,True,
Arthur Rinderknech,arthur rinderknech,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126239/Arthur-Rinderknech,True,
Ben Shelton,ben shelton,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=210097/Ben-Shelton,True,
Botic Van De Zandschulp,botic van de zandschulp,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=122298/Botic-Van-De-Zandschulp,True,
Brandon Nakashima,brandon nakashima,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=206909/Brandon-Nakashima,True,
Cameron Norrie,cameron norrie,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=111815/Cameron-Norrie,True,
Camilo Ugo Carabelli,camilo ugo carabelli,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200116/Camilo-Ugo-Carabelli,True,
Carlos Alcaraz,carlos alcaraz,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207989/Carlos-Alcaraz,True,
Corentin Moutet,corentin moutet,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144895/Corentin-Moutet,True,
Daniel Altmaier,daniel altmaier,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=127157/Daniel-Altmaier,True,
Denis Shapovalov,denis shapovalov,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=133430/Denis-Shapovalov,True,
Diego Dedura Palomero,diego dedura palomero,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=212309/Diego-Dedura-Palomero,True,
Emilio Nava,emilio nava,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207182/Emilio-Nava,True,
Ethan Quinn,ethan quinn,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=210319/Ethan-Quinn,True,
Fabian Marozsan,fabian marozsan,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=206681/Fabian-Marozsan,True,
Flavio Cobolli,flavio cobolli,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207925/Flavio-Cobolli,True,
Francisco Cerundolo,francisco cerundolo,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=202103/Francisco-Cerundolo,True,
Gabriel Diallo,gabriel diallo,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209113/Gabriel-Diallo,True,
Hamad Medjedovic,hamad medjedovic,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209098/Hamad-Medjedovic,True,
Ignacio Buse,ignacio buse,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209860/Ignacio-Buse,True,
Jack Draper,jack draper,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207733/Jack-Draper,True,
Jaume Munar,jaume munar,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144719/Jaume-Munar,True,
Joao Fonseca,joao fonseca,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=211663/Joao-Fonseca,True,
Juan Manuel Cerundolo,juan manuel cerundolo,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207678/Juan-Manuel-Cerundolo,True,
Justin Engel,justin engel,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=211514/Justin-Engel,True,
Karen Khachanov,karen khachanov,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=111575/Karen-Khachanov,True,
Lorenzo Musetti,lorenzo musetti,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207518/Lorenzo-Musetti,True,
Lorenzo Sonego,lorenzo sonego,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=132283/Lorenzo-Sonego,True,
Luciano Darderi,luciano darderi,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209260/Luciano-Darderi,True,
Marc Andrea Huesler,marc andrea huesler,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144817/Marc-Andrea-Huesler,True,
Marco Trungelliti,marco trungelliti,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105477/Marco-Trungelliti,True,
Mariano Navone,mariano navone,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=208363/Mariano-Navone,True,
Marin Cilic,marin cilic,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105227/Marin-Cilic,True,
Marko Topo,marko topo,tournament,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209916/Marko-Topo,True,
