prob_mode,edge_threshold,odds_source,bets,wins,total_staked,profit,losses,win_rate,roi_on_staked
fair,0.01,bet365,29,18,471745942.5711764,323149813.4045284,11,0.6206896551724138,0.685008145789769
fair,0.01,max,5,1,737100.8716428435,-732445.3039265957,4,0.2,-0.9936839476178186
fair,0.01,pinnacle,3998,2025,4876381908.475833,708675465.9418517,1973,0.5065032516258129,0.14532813041367304
fair,0.02,bet365,29,18,584459478.3588367,398385531.3825365,11,0.6206896551724138,0.6816307137343445
fair,0.02,max,5,1,869962.9336806936,-865401.843730764,4,0.2,-0.9947571445019706
fair,0.02,pinnacle,3828,1976,5889695851.8280325,887845998.3780851,1852,0.51619644723093,0.1507456447182272
fair,0.03,bet365,25,16,733147984.9702312,378027487.09764457,9,0.64,0.5156223502585143
fair,0.03,max,5,1,1183136.41549452,-1178010.1382160722,4,0.2,-0.9956672136777186
fair,0.03,pinnacle,3508,1808,7250538918.508309,1140952679.8099966,1700,0.5153933865450399,0.1573610862080209
fair,0.04,bet365,24,16,777442984.3562875,404248476.4920014,8,0.6666666666666666,0.5199718624082945
fair,0.04,max,5,1,1293881.1828627514,-1289073.8854273427,4,0.2,-0.9962845912753964
fair,0.04,pinnacle,3216,1660,7585689074.805388,1158716015.3310454,1556,0.5161691542288557,0.1527502648611751
fair,0.05,bet365,21,14,496162568.1562408,243241739.443007,7,0.6666666666666666,0.4902460504969221
fair,0.05,max,4,1,1062121.3984787904,-1058059.2198724137,3,0.25,-0.9961754102570621
fair,0.05,pinnacle,2954,1515,5429549410.460047,840531573.4425215,1439,0.512863913337847,0.15480687436479246
fair,0.06,bet365,20,13,423204180.0954751,206172119.89685175,7,0.65,0.4871693844100009
fair,0.06,max,4,1,1281363.6199989219,-1276901.4422340489,3,0.25,-0.9965176334841809
fair,0.06,pinnacle,2697,1378,5009960096.484125,705314826.3283416,1319,0.5109380793474231,0.14078252376167932
fair,0.08,bet365,14,8,26928215.966960084,14197618.583109478,6,0.5714285714285714,0.5272394799762979
fair,0.08,max,3,1,181560.7489083308,-177669.9214701734,2,0.3333333333333333,-0.9785701069115887
fair,0.08,pinnacle,2219,1119,399407995.59411013,64376188.609536774,1100,0.5042812077512393,0.1611790182461888
fair,0.1,bet365,10,6,3350876.3926040744,2808443.001629676,4,0.6,0.8381219336614039
fair,0.1,max,2,1,1227.895837641539,1803.6222888979005,1,0.5,1.4688723860829913
fair,0.1,pinnacle,1812,899,94837227.21370003,13323141.17710804,913,0.49613686534216334,0.14048429681612837
raw,0.01,bet365,28,17,547037211.3817207,369142728.8759515,11,0.6071428571428571,0.6748036901247747
raw,0.01,max,5,1,843222.108211827,-838622.3371883151,4,0.2,-0.9945450066136592
raw,0.01,pinnacle,3715,1872,5514567739.14324,830912685.253838,1843,0.5039030955585464,0.1506759413536429
raw,0.02,bet365,26,16,581839337.8667271,412148393.0738857,10,0.6153846153846154,0.7083542934463639
raw,0.02,max,5,1,941091.5436961236,-936316.1017876444,4,0.2,-0.9949256350878218
raw,0.02,pinnacle,3430,1726,5992179276.690108,928997471.5507964,1704,0.5032069970845481,0.15503499288892195
raw,0.03,bet365,20,11,419084134.8425485,181581395.93814462,9,0.55,0.43328148417349527
raw,0.03,max,5,1,841338.6958064374,-836908.2510665745,4,0.2,-0.9947340532868083
raw,0.03,pinnacle,3158,1586,4775882379.008608,836298681.791839,1572,0.5022165927802407,0.1751087266025677
raw,0.04,bet365,17,11,389258869.7974473,245068121.78843004,6,0.6470588235294118,0.6295762044316482
raw,0.04,max,5,1,1122026.701309037,-1116894.9447422004,4,0.2,-0.9954263507625537
raw,0.04,pinnacle,2879,1442,5110615478.731633,778269244.0305121,1437,0.5008683570684266,0.15228483678127652
raw,0.05,bet365,15,9,285177877.8256749,176864643.65041283,6,0.6,0.6201906157620249
raw,0.05,max,4,1,1026613.5948758567,-1022168.7726416806,3,0.25,-0.9956704038828615
raw,0.05,pinnacle,2646,1323,3971546405.7999015,539243185.5841683,1323,0.5,0.13577662967671164
raw,0.06,bet365,13,7,95367646.56802432,56837876.91377401,6,0.5384615384615384,0.5959869930651209
raw,0.06,max,4,1,595128.0782784063,-590161.4935864173,3,0.25,-0.9916545952488809
raw,0.06,pinnacle,2388,1181,1720416844.078833,234538840.91298634,1207,0.4945561139028476,0.13632675227529875
raw,0.08,bet365,9,5,5472051.840675473,5203835.75055299,4,0.5555555555555556,0.950984366023591
raw,0.08,max,3,1,82493.26763646792,-79168.31471460196,2,0.3333333333333333,-0.9596942512143125
raw,0.08,pinnacle,1943,948,170583175.1684215,27854969.72769218,995,0.4879053010808029,0.16329259729272946
raw,0.1,bet365,6,4,2622214.5234592585,3490315.5675922334,2,0.6666666666666666,1.3310564549035313
raw,0.1,max,2,1,1327.7668130648008,2043.2096415729998,1,0.5,1.538831684500976
raw,0.1,pinnacle,1579,766,110312416.44883816,16823339.191001635,813,0.4851171627612413,0.15250630647551935
