prob_mode,edge_threshold,surface,bets,wins,total_staked,profit,losses,win_rate,roi_on_staked
fair,0.01,clay,1179,590,969693852.2075768,171241185.04778537,589,0.5004240882103478,0.17659303981142366
fair,0.01,grass,536,239,551184265.2774801,-89478288.45224994,297,0.4458955223880597,-0.16233824891065116
fair,0.01,hard,2317,1215,3827986834.4335957,949329937.4469181,1102,0.524384980578334,0.2479971793286966
fair,0.02,clay,1126,573,1143002748.665338,208478373.81342337,553,0.5088809946714032,0.1823953389935934
fair,0.02,grass,517,235,663082988.777626,-109888092.42348608,282,0.45454545454545453,-0.16572298533259244
fair,0.02,hard,2219,1187,4668939555.677586,1186775846.5269537,1032,0.5349256421811627,0.25418530961357055
fair,0.03,clay,1014,515,1411539747.4340808,281228100.1059267,499,0.5078895463510849,0.1992349847867533
fair,0.03,grass,472,207,834478689.480614,-134588431.6605639,265,0.4385593220338983,-0.16128444423707547
fair,0.03,hard,2052,1103,5738851602.979341,1371162488.3240623,949,0.5375243664717348,0.23892628406913669
fair,0.04,clay,926,471,1528339912.4135003,268569050.8031307,455,0.5086393088552916,0.1757259943431144
fair,0.04,grass,419,184,870889983.7605654,-135288329.06774518,235,0.43914081145584727,-0.15534491335353345
fair,0.04,hard,1900,1022,5965196044.170473,1428394696.202234,878,0.5378947368421053,0.23945477828815737
fair,0.05,clay,835,423,1167826551.0797565,272066211.4995048,412,0.5065868263473053,0.23296799618740993
fair,0.05,grass,391,173,699405014.7121291,-130704483.62786192,218,0.4424552429667519,-0.18687953457362483
fair,0.05,hard,1753,934,4059542534.2228804,941353525.794013,819,0.5328009127210497,0.231886602457835
fair,0.06,clay,763,381,1172299506.2642992,229033725.56339324,382,0.49934469200524245,0.195371340122152
fair,0.06,grass,358,155,645246351.0202459,-129952688.73789874,203,0.4329608938547486,-0.2014001141307054
fair,0.06,hard,1600,856,3616899782.915054,811129007.9574648,744,0.535,0.22426084675858293
fair,0.08,clay,628,309,104794113.04588789,18416110.93337501,319,0.49203821656050956,0.1757361210291541
fair,0.08,grass,294,123,52259145.29508139,-10688203.043868108,171,0.41836734693877553,-0.20452311233789117
fair,0.08,hard,1314,696,269464513.9690092,70668229.38166918,618,0.5296803652968036,0.26225430703575553
fair,0.1,clay,509,243,31751907.918340728,5327516.937908637,266,0.4774066797642436,0.16778572650216478
fair,0.1,grass,237,97,15519196.612883603,-2764453.0187343084,140,0.4092827004219409,-0.17813119375260295
fair,0.1,hard,1078,566,50918226.97091742,13570323.881852286,512,0.5250463821892394,0.2665121055688594
raw,0.01,clay,1082,536,1074141191.476635,200233225.296575,546,0.4953789279112754,0.18641238869287935
raw,0.01,grass,502,219,627323720.4202006,-104635296.77312854,283,0.4362549800796813,-0.16679633396142046
raw,0.01,hard,2164,1135,4360983260.736337,1103618863.2691548,1029,0.5244916820702403,0.25306652130620944
raw,0.02,clay,999,494,1157928511.8617852,234108609.88980198,505,0.4944944944944945,0.20217881111968516
raw,0.02,grass,456,194,705805311.9543902,-116487932.19536628,262,0.42543859649122806,-0.16504258358839588
raw,0.02,hard,2006,1055,4711225882.284357,1222588870.8284588,951,0.5259222333000997,0.25950546659750806
raw,0.03,clay,906,450,926961015.6648972,220830344.3810997,456,0.4966887417218543,0.23823045484032673
raw,0.03,grass,418,182,535460059.24301195,-86210404.06788969,236,0.4354066985645933,-0.16100249230496605
raw,0.03,hard,1859,966,3733386777.639054,882423229.1657071,893,0.5196342119419043,0.23635998135819733
raw,0.04,clay,819,402,1121767893.3838987,242652889.3690912,417,0.4908424908424908,0.21631292070332855
raw,0.04,grass,380,166,616761255.5893166,-89299663.67433177,214,0.4368421052631579,-0.144788056748159
raw,0.04,hard,1702,886,3762467226.2571745,868867245.1794405,816,0.5205640423031728,0.23093018302348692
raw,0.05,clay,743,362,920096213.7440469,187448357.76714116,381,0.48721399730820997,0.20372690917222455
raw,0.05,grass,359,154,539036883.1183819,-96176534.56350139,205,0.42896935933147634,-0.17842291979560024
raw,0.05,hard,1563,817,2798617800.358023,623813837.2582997,746,0.5227127319257837,0.22290068946838545
raw,0.06,clay,676,327,460195332.90725785,67811090.42758505,349,0.48372781065088755,0.1473528425401282
raw,0.06,grass,321,133,222435048.39255005,-43501842.57112956,188,0.4143302180685358,-0.19557098975858409
raw,0.06,hard,1408,729,1133749237.425328,266477308.47671846,679,0.5177556818181818,0.23504078298819533
raw,0.08,clay,553,262,53621192.771316424,8499072.208064029,291,0.47377938517179025,0.15850211024418756
raw,0.08,grass,253,101,27562976.434039205,-4961325.855047242,152,0.39920948616600793,-0.17999964071079774
raw,0.08,hard,1149,591,94953551.07137781,29441890.81051378,558,0.5143603133159269,0.3100662426872475
raw,0.1,clay,451,214,38202861.5864411,5749704.65205792,237,0.4745011086474501,0.15050455419545314
raw,0.1,grass,212,86,17266215.12925123,-2272815.07754406,126,0.4056603773584906,-0.13163365917372438
raw,0.1,hard,924,471,57466882.02341816,16838808.393721584,453,0.5097402597402597,0.2930176094617357
