prob_mode,edge_threshold,year,bets,wins,total_staked,profit,losses,win_rate,roi_on_staked
fair,0.01,2022,1123,587,18370723.745458577,4517713.601551555,536,0.5227070347284061,0.2459191953538781
fair,0.01,2023,1037,483,104723795.66146521,-3598151.8028172143,554,0.46576663452266154,-0.034358493025298274
fair,0.01,2024,1099,577,593678414.3344995,12650540.117040584,522,0.5250227479526842,0.02130874192423109
fair,0.01,2025,773,397,4632092018.177229,1017522732.1266786,376,0.5135834411384217,0.2196680739790405
fair,0.02,2022,1083,573,18497191.54863445,4583884.019215131,510,0.5290858725761773,0.24781513491725368
fair,0.02,2023,983,469,107968309.95566808,-3548286.918511965,514,0.47711088504577825,-0.03286415171237649
fair,0.02,2024,1053,565,678174612.0468544,15142386.186343731,488,0.5365622032288699,0.022328152539714298
fair,0.02,2025,743,388,5670385179.569392,1269188144.629844,355,0.522207267833109,0.2238275010316364
fair,0.03,2022,993,525,20522421.85755573,5426605.3144490225,468,0.5287009063444109,0.2644232416678011
fair,0.03,2023,910,432,116562509.27656819,-4293049.798013251,478,0.4747252747252747,-0.036830451100079875
fair,0.03,2024,950,514,798672783.615838,21082791.246141706,436,0.5410526315789473,0.026397282690282003
fair,0.03,2025,685,354,7049112325.1440735,1495585810.0068476,331,0.5167883211678832,0.21216654537793594
fair,0.04,2022,909,477,19880361.20440039,5527049.145163373,432,0.5247524752475248,0.2780155294130167
fair,0.04,2023,833,401,124892752.42930183,-4212551.457173018,432,0.48139255702280914,-0.03372935078484735
fair,0.04,2024,872,468,799831977.8569075,23025222.101189476,404,0.536697247706422,0.02878757381379513
fair,0.04,2025,631,331,7419820848.853929,1537335698.1484396,300,0.5245641838351822,0.2071931020256234
fair,0.05,2022,836,439,16471951.913115153,4905378.164721016,397,0.5251196172248804,0.2978018750051898
fair,0.05,2023,765,367,119476296.76830438,-3489965.6706325323,398,0.4797385620915033,-0.029210527653033
fair,0.05,2024,800,421,633462382.9354838,19340635.444776878,379,0.52625,0.03053162423813043
fair,0.05,2025,578,303,5157363468.397862,1061959205.7267907,275,0.5242214532871973,0.20591125916062084
fair,0.06,2022,776,409,22842900.640338417,7145532.775810262,367,0.5270618556701031,0.31281197113784764
fair,0.06,2023,695,332,159481692.65950358,-5048488.443231617,363,0.4776978417266187,-0.03165559857713722
fair,0.06,2024,716,376,826942214.072511,22931824.116620626,340,0.5251396648044693,0.027730866469721466
fair,0.06,2025,534,275,4425178832.827246,885181176.33376,259,0.5149812734082397,0.20003285963659417
fair,0.08,2022,639,332,5007317.5974500375,1358259.1052794836,307,0.5195618153364632,0.27125483431911196
