bin_index,bin_low,bin_high,count,avg_predicted_prob,actual_win_rate,calibration_gap
0,0.0,0.05,764,0.031221,0.045812,0.014591
1,0.05,0.1,1748,0.077121,0.08238,0.005259
2,0.1,0.15000000000000002,2744,0.126148,0.126093,-5.5e-05
3,0.15000000000000002,0.2,3735,0.176011,0.180455,0.004444
4,0.2,0.25,4468,0.225166,0.2406,0.015434
5,0.25,0.30000000000000004,4818,0.275258,0.270237,-0.005022
6,0.30000000000000004,0.35000000000000003,5612,0.32561,0.324127,-0.001483
7,0.35000000000000003,0.4,5498,0.373739,0.372863,-0.000876
8,0.4,0.45,4675,0.424763,0.429305,0.004542
9,0.45,0.5,4740,0.475661,0.4673,-0.008362
10,0.5,0.55,4757,0.524637,0.516712,-0.007925
11,0.55,0.6000000000000001,4877,0.575017,0.573713,-0.001304
12,0.6000000000000001,0.65,5123,0.624828,0.628928,0.004101
13,0.65,0.7000000000000001,4974,0.675073,0.680539,0.005466
14,0.7000000000000001,0.75,4985,0.724771,0.732397,0.007626
15,0.75,0.8,4500,0.774497,0.775333,0.000836
16,0.8,0.8500000000000001,3765,0.82353,0.834794,0.011264
17,0.8500000000000001,0.9,2426,0.87321,0.866447,-0.006763
18,0.9,0.9500000000000001,1297,0.921531,0.925212,0.003681
19,0.9500000000000001,1.0,427,0.967777,0.978923,0.011146
