match_id,surface,year,round,p1_name,p2_name,prob,correct,p1_match_key,p2_match_key,surf_norm
2022-1536_16.0,clay,2022,R64,botic van de zandschulp,pablo carreno busta,0.3271250426769256,1,de zandschulp b,carreno busta p,clay
2022-1536_35.0,clay,2022,R32,botic van de zandschulp,david goffin,0.5234734416007996,0,de zandschulp b,goffin d,clay
2022-308_14.0,clay,2022,R16,botic van de zandschulp,egor gerasimov,0.6575837731361389,1,de zandschulp b,gerasimov e,clay
2022-308_21.0,clay,2022,QF,botic van de zandschulp,casper ruud,0.1306092441082,1,de zandschulp b,ruud c,clay
2022-308_25.0,clay,2022,SF,botic van de zandschulp,miomir kecmanovic,0.2708933353424072,1,de zandschulp b,kecmanovic m,clay
2022-308_27.0,clay,2022,F,botic van de zandschulp,holger rune,0.4190580248832702,0,de zandschulp b,rune h,clay
2022-308_3.0,clay,2022,R32,botic van de zandschulp,brandon nakashima,0.327493667602539,1,de zandschulp b,nakashima b,clay
2022-308_6.0,clay,2022,R32,max hans rehberg,miomir kecmanovic,0.1020354852080345,0,hans rehberg m,kecmanovic m,clay
2022-314_12.0,clay,2022,R32,jiri lehecka,tomas martin etcheverry,0.403436541557312,1,lehecka j,martin etcheverry t,clay
2022-314_15.0,clay,2022,R16,juan pablo varillas,roberto bautista agut,0.3421132564544678,1,pablo varillas j,bautista agut r,clay
2022-314_22.0,clay,2022,QF,dominic thiem,juan pablo varillas,0.6299983263015747,1,thiem d,pablo varillas j,clay
2022-314_4.0,clay,2022,R32,juan pablo varillas,lorenzo sonego,0.2397059202194214,1,pablo varillas j,sonego l,clay
2022-316_8.0,clay,2022,R32,albert ramos-vinolas,tomas martin etcheverry,0.6928033232688904,1,ramos-vinolas a,martin etcheverry t,clay
2022-319_12.0,clay,2022,R32,carlos taberner,juan pablo varillas,0.4151561260223388,0,taberner c,pablo varillas j,clay
2022-319_20.0,clay,2022,R16,albert ramos-vinolas,juan pablo varillas,0.6158042550086975,1,ramos-vinolas a,pablo varillas j,clay
2022-319_5.0,clay,2022,R32,daniel dutra da silva,filip misolic,0.2533710896968841,0,da silva d,misolic f,clay
2022-322_15.0,clay,2022,R16,christopher o'connell,reilly opelka,0.2708998024463653,0,oconnell c,opelka r,clay
2022-322_4.0,clay,2022,R32,albert ramos-vinolas,christopher o'connell,0.7534149289131165,0,ramos-vinolas a,oconnell c,clay
2022-360_13.0,clay,2022,R32,botic van de zandschulp,hugo dellien,0.783299446105957,1,de zandschulp b,dellien h,clay
2022-360_23.0,clay,2022,R16,botic van de zandschulp,vit kopriva,0.5295875668525696,1,de zandschulp b,kopriva v,clay
2022-360_28.0,clay,2022,QF,alex molcan,botic van de zandschulp,0.5594812035560608,1,molcan a,de zandschulp b,clay
